Name,Maximum Wind,Year,Month,Latitude,Longitude
                AMY,60.0,1975,6,35.9,70.5
                ANA,60.0,1985,7,44.2,60.3
                BOB,100.0,1991,8,36.5,74.5
                DOG,125.0,1950,9,24.6,67.7
                DON,45.0,2011,7,24.6,91.9
                EVE,50.0,1969,8,30.0,75.1
                FAY,70.0,2014,10,32.3,64.7
                FOX,125.0,1952,10,22.0,80.9
                HOW,85.0,1951,10,32.8,75.7
                IDA,90.0,2009,11,23.0,86.5
                IKE,125.0,2008,9,22.4,55.0
                JIG,100.0,1950,10,33.0,59.7
                LEE,50.0,2011,9,29.0,92.0
                ONE,30.0,2009,5,37.5,70.3
                TEN,30.0,2005,8,13.8,44.7
                TWO,30.0,2010,7,22.8,92.8
               ABBY,70.0,1960,7,16.3,86.6
               ABLE,110.0,1950,8,31.7,75.5
               ALEX,105.0,2004,8,38.5,66.0
               ALFA,40.0,1973,7,37.5,70.8
               ALMA,110.0,1966,6,24.2,82.4
               ANNA,100.0,1961,7,13.7,73.3
               BABE,65.0,1977,9,28.7,91.4
               BESS,45.0,1978,8,21.6,96.6
               BETA,100.0,2005,10,13.3,83.1
               BETH,75.0,1971,8,39.7,67.2
               BILL,115.0,2009,8,17.6,54.2
               BRET,125.0,1999,8,25.5,95.5
               CLEO,135.0,1964,8,16.7,68.0
               CORA,80.0,1978,8,14.0,44.9
               DAWN,70.0,1972,9,35.2,70.8
               DEAN,150.0,2007,8,18.6,86.9
               DORA,115.0,1964,9,26.1,64.4
               EARL,125.0,2010,9,28.6,74.3
               EASY,130.0,1951,9,26.2,67.5
               EDNA,110.0,1954,9,28.8,76.5
               ELLA,120.0,1978,9,40.0,63.0
               EMMY,90.0,1976,8,35.0,56.8
               ERIN,105.0,2001,9,32.4,62.8
               FAYE,90.0,1975,9,32.7,64.2
               FERN,80.0,1971,9,26.7,94.0
               FIFI,95.0,1974,9,16.3,84.7
               FIVE,30.0,2010,8,25.9,83.7
               FRAN,105.0,1996,9,27.0,74.7
               FRED,105.0,2009,9,13.6,32.1
               GAIL,70.0,1953,10,14.8,42.8
               GERT,130.0,1999,9,17.8,50.8
               HOPE,55.0,1978,9,39.1,43.0
               HUGO,140.0,1989,9,14.6,54.6
               IGOR,135.0,2010,9,18.9,53.5
               ILSA,95.0,1958,9,19.7,60.8
               INEZ,130.0,1966,9,17.0,67.1
               INGA,100.0,1969,10,31.9,59.5
               IONE,120.0,1955,9,27.0,73.2
               IRIS,125.0,2001,10,16.5,88.0
               IRMA,45.0,1978,10,35.8,31.4
               ITEM,90.0,1950,10,19.4,95.4
               IVAN,145.0,2004,9,18.0,79.0
               JOAN,125.0,1988,10,11.9,83.2
               JOSE,85.0,1999,10,16.8,61.1
               JUAN,90.0,2003,9,35.5,63.2
               KARA,90.0,1969,10,43.3,50.8
               KARL,125.0,2004,9,19.6,47.3
               KATE,110.0,2003,10,30.2,54.0
               KING,115.0,1950,10,25.7,80.2
               KIRK,90.0,2012,8,29.6,50.7
               KYLE,75.0,2002,9,27.9,58.3
               LILI,125.0,2002,10,25.9,89.9
               LISA,75.0,2010,9,20.4,27.8
               LOIS,70.0,1966,11,24.8,49.8
               LOVE,70.0,1950,10,25.4,89.6
               LUIS,120.0,1995,9,17.4,51.8
               MIKE,40.0,1950,10,26.8,47.8
               NANA,75.0,1990,10,24.1,63.8
               NATE,80.0,2005,9,32.6,61.1
               NINE,30.0,2015,9,15.6,45.0
               NOEL,75.0,2007,11,36.4,70.9
               OLGA,80.0,2001,11,32.6,57.0
               OMAR,115.0,2008,10,18.2,63.9
               OPAL,130.0,1995,10,26.6,88.8
               OTTO,75.0,2010,10,27.2,61.7
               RINA,100.0,2011,10,17.3,84.2
               RITA,155.0,2005,9,24.7,87.3
               SEAN,55.0,2011,11,27.9,70.4
               STAN,70.0,2005,10,18.6,94.9
               TONY,45.0,2012,10,27.9,46.8
               ZETA,55.0,2006,1,25.0,38.6
              AGNES,75.0,1972,6,26.0,85.7
              ALICE,95.0,1954,6,24.8,97.2
              ALLEN,165.0,1980,8,21.8,86.4
              ALPHA,60.0,1972,5,31.6,75.7
              ANITA,150.0,1977,9,24.2,97.1
              BAKER,95.0,1952,9,37.6,66.0
              BARRY,70.0,1983,8,25.4,97.4
              BECKY,100.0,1974,8,37.3,61.8
              BELLE,105.0,1976,8,30.9,75.3
              BERYL,60.0,1982,8,17.2,36.4
              BETSY,135.0,1965,9,28.3,89.2
              BETTY,90.0,1972,8,40.5,42.6
              CANDY,60.0,1968,6,28.3,97.2
              CARLA,150.0,1961,9,27.2,95.7
              CAROL,140.0,1953,9,19.1,58.7
              CELIA,110.0,1970,8,27.5,96.3
              CESAR,75.0,1996,7,12.2,83.9
              CHLOE,95.0,1967,9,27.9,50.9
              CHRIS,75.0,2012,6,40.5,43.9
              CINDY,120.0,1999,8,30.1,58.0
              CLARA,65.0,1977,9,35.5,67.7
              COLIN,50.0,2010,8,25.0,66.1
              DAISY,115.0,1958,8,29.6,75.6
              DANNY,110.0,2015,8,13.8,47.8
              DAVID,150.0,1979,8,16.6,66.2
              DEBBY,115.0,1982,9,38.8,62.3
              DEBRA,75.0,1959,7,29.1,95.2
              DELIA,60.0,1973,9,25.9,89.9
              DELTA,60.0,2005,11,24.8,39.0
              DIANA,115.0,1984,9,33.9,77.7
              DIANE,90.0,1955,8,27.4,62.6
              DOLLY,85.0,2008,7,25.9,96.7
              DONNA,125.0,1960,9,21.8,69.7
              DORIA,75.0,1967,9,37.1,64.9
              DORIS,95.0,1975,9,36.4,44.5
              EDITH,140.0,1971,9,14.8,83.2
              EIGHT,30.0,2009,9,16.1,31.1
              ELENA,110.0,1985,9,28.9,84.8
              ELLEN,100.0,1973,9,42.1,45.2
              EMILY,140.0,2005,7,17.1,79.5
              ERIKA,110.0,1997,9,23.2,62.5
              ETHEL,100.0,1960,9,25.6,90.0
              FAITH,110.0,1966,8,23.3,70.7
              FELIX,150.0,2007,9,13.8,73.0
              FIONA,55.0,2010,9,19.5,62.5
              FLORA,125.0,1963,10,15.9,71.4
              FLOYD,135.0,1999,9,23.6,70.0
              GAMMA,45.0,2005,11,16.1,85.4
              GERDA,110.0,1969,9,37.8,72.2
              GILDA,60.0,1954,9,16.3,85.2
              GINNY,95.0,1963,10,36.3,70.3
              GRACE,90.0,1991,10,31.5,61.8
              GRETA,115.0,1978,9,15.8,84.3
              HANNA,75.0,2008,9,21.8,72.3
              HAZEL,115.0,1954,10,28.8,76.8
              HEIDI,80.0,1967,10,35.3,46.9
              HENRI,75.0,1979,9,20.4,94.3
              HILDA,130.0,1964,10,24.8,91.1
              HOLLY,75.0,1969,9,14.5,49.5
              IRENE,105.0,1981,9,25.8,56.8
              ISAAC,120.0,2000,9,26.6,54.2
              JANET,150.0,1955,9,18.0,86.1
              JENNY,70.0,1961,11,28.3,52.3
              JERRY,75.0,1989,10,29.1,95.0
              JOYCE,80.0,2000,9,12.2,42.5
              JULIA,120.0,2010,9,17.7,32.2
              KAREN,70.0,2001,10,38.6,63.7
              KATIA,120.0,2011,9,25.6,64.0
              KATIE,95.0,1955,10,18.0,71.7
              KEITH,120.0,2000,10,17.9,87.2
              KLAUS,80.0,1984,11,19.9,61.4
              LARRY,55.0,2003,10,20.5,94.0
              LAURA,70.0,2008,9,37.5,38.0
              LENNY,135.0,1999,11,17.4,64.8
              MARCO,65.0,1996,11,13.8,78.5
              MARIA,100.0,2005,9,32.6,56.6
              MINDY,40.0,2003,10,19.1,68.8
              MITCH,155.0,1998,10,16.9,83.1
              OSCAR,45.0,2012,10,20.2,42.0
              PABLO,50.0,1995,10,11.5,41.9
              PATTY,40.0,2012,10,25.5,72.4
              PAULA,90.0,2010,10,18.8,85.9
              PETER,60.0,2003,12,21.0,37.0
              SANDY,100.0,2012,10,20.0,76.0
              SHARY,65.0,2010,10,31.3,64.0
              TAMMY,45.0,2005,10,29.5,80.9
              TANYA,75.0,1995,10,33.8,51.8
              TOMAS,85.0,2010,10,13.4,61.2
              VINCE,65.0,2005,10,34.1,18.9
              WILMA,160.0,2005,10,17.3,82.8
             ALICIA,100.0,1983,8,28.9,95.0
             AMELIA,45.0,1978,7,26.4,97.4
             ANDREA,65.0,2007,5,33.3,72.3
             ANDREW,150.0,1992,8,25.4,75.8
             ARLENE,90.0,1963,8,14.3,49.9
             ARTHUR,85.0,2014,7,34.0,77.3
             AUDREY,110.0,1957,6,29.3,93.8
             BERTHA,110.0,2008,7,20.3,51.9
             BEULAH,140.0,1967,9,24.2,96.2
             BONNIE,100.0,1998,8,24.1,71.5
             BRENDA,80.0,1973,8,19.0,92.1
             CARMEN,130.0,1974,9,18.4,86.8
             CARRIE,120.0,1957,9,17.4,42.9
             CONNIE,120.0,1955,8,22.8,68.8
             DEBBIE,105.0,1961,9,29.3,45.9
             DENNIS,130.0,2005,7,20.9,79.5
             DORIAN,50.0,2013,7,15.3,33.9
             DOTTIE,45.0,1976,8,29.6,80.0
             ELAINE,60.0,1974,9,34.8,69.3
             ELOISE,110.0,1975,9,30.2,86.3
             ESTHER,125.0,1961,9,27.0,68.6
             EVELYN,70.0,1977,10,42.4,61.5
             FABIAN,125.0,2003,9,19.0,57.3
             FELICE,60.0,1970,9,29.4,94.1
             FLOSSY,80.0,1956,9,29.9,87.6
             FRIEDA,75.0,1957,9,35.8,64.5
             GASTON,65.0,2004,8,32.8,79.5
             GEORGE,95.0,1950,10,32.9,67.8
             GINGER,95.0,1971,9,33.3,53.3
             GLADYS,125.0,1964,9,25.0,65.1
             GLORIA,125.0,1985,9,25.1,70.9
             GORDON,105.0,2006,9,27.3,57.4
             GRACIE,115.0,1959,9,30.6,79.1
             GUSTAV,135.0,2008,8,22.4,83.1
             HALLIE,45.0,1966,9,21.5,95.4
             HANNAH,105.0,1959,9,27.9,65.6
             HARVEY,115.0,1981,9,28.4,62.6
             HATTIE,140.0,1961,10,18.2,85.2
             HELENA,45.0,1963,10,15.5,60.6
             HELENE,130.0,1958,9,32.7,78.6
             INGRID,75.0,2013,9,21.6,94.7
             ISABEL,145.0,2003,9,21.5,54.8
             ISBELL,110.0,1964,10,24.0,82.9
             JANICE,85.0,1958,10,34.0,67.1
             JEANNE,105.0,2004,9,26.9,78.2
             JUDITH,75.0,1959,10,29.6,70.0
             JULIET,45.0,1978,10,19.3,60.9
             KENDRA,70.0,1978,10,28.9,72.6
             KRISTY,45.0,1971,10,35.4,47.1
             LAURIE,90.0,1969,10,26.3,89.6
             LESLIE,70.0,2012,9,25.6,62.8
             MARTHA,80.0,1969,11,10.3,81.0
             NADINE,80.0,2012,9,36.8,38.3
             NICOLE,75.0,1998,12,35.1,37.9
             ODETTE,55.0,2003,12,15.9,72.5
             PALOMA,125.0,2008,11,19.8,79.6
             RAFAEL,80.0,2012,10,24.6,65.6
            ALBERTO,110.0,2000,8,35.9,55.3
            ALLISON,65.0,1995,6,24.7,86.2
            BARBARA,80.0,1953,8,34.6,76.2
            BLANCHE,75.0,1969,8,35.5,69.9
            CAMILLE,150.0,1969,8,24.3,86.6
            CANDICE,80.0,1976,8,41.3,56.4
            CHANTAL,70.0,1989,8,28.7,93.5
            CHARLEY,130.0,2004,8,26.6,82.2
            CHARLIE,115.0,1951,8,20.2,86.7
            DOROTHY,75.0,1966,7,39.2,40.1
            EDOUARD,125.0,1996,8,15.4,47.0
            EPSILON,75.0,2005,12,34.0,36.7
            ERNESTO,85.0,2012,8,18.8,87.7
            FERNAND,50.0,2013,8,19.2,95.9
            FIFTEEN,45.0,2007,10,41.9,30.1
            FLOSSIE,85.0,1978,9,31.8,42.9
            FRANCES,125.0,2004,8,20.3,65.0
            GEORGES,135.0,1998,9,16.0,56.3
            GILBERT,160.0,1988,9,19.7,83.8
            GONZALO,125.0,2014,10,25.6,68.7
            HERMINE,60.0,1980,9,17.8,87.8
            ISIDORE,110.0,2002,9,21.9,86.1
            JOAQUIN,135.0,2015,10,25.4,72.6
            KATRINA,150.0,2005,8,26.3,88.6
            LORENZO,70.0,2007,9,20.5,96.3
            MARILYN,100.0,1995,9,19.7,66.4
            MATTHEW,50.0,2010,9,14.6,83.0
            MELISSA,55.0,2013,11,30.8,54.7
            MICHAEL,100.0,2012,9,29.9,41.4
            OPHELIA,120.0,2011,10,32.8,62.5
            RICHARD,85.0,2010,10,17.2,88.2
            ROXANNE,100.0,1995,10,20.0,86.7
            SIXTEEN,25.0,2008,10,15.5,82.8
            UNNAMED,90.0,1970,10,39.0,61.0
           CAROLINE,100.0,1975,8,24.0,97.0
           DANIELLE,115.0,2010,8,27.1,60.1
           FLORENCE,100.0,1953,9,25.9,87.5
           FRANKLIN,60.0,2005,7,29.2,75.4
           FREDERIC,115.0,1979,9,27.4,87.0
           GERTRUDE,65.0,1974,9,11.0,53.0
           HORTENSE,120.0,1996,9,25.9,71.5
           HUMBERTO,95.0,1995,8,15.7,43.2
           MICHELLE,120.0,2001,11,20.1,83.3
           NICHOLAS,60.0,2003,10,15.5,48.0
           NINETEEN,30.0,2005,9,12.2,33.0
           PHILIPPE,80.0,2011,10,28.2,59.7
          CHRISTINE,60.0,1973,9,14.9,55.5
          CLAUDETTE,115.0,1991,9,27.0,61.5
          CRISTOBAL,75.0,2014,8,37.5,63.6
          FRANCELIA,100.0,1969,9,16.4,86.7
          GABRIELLE,125.0,1989,9,19.3,55.7
          JOSEPHINE,90.0,1984,10,31.4,71.7
          SEBASTIEN,55.0,1995,10,21.5,58.5
         TWENTY-TWO,40.0,2005,10,38.7,73.5
